Id,Name,FIGI,Ticker
284,AppHarvest,BBG00VDGP717,APPH
285,Vectrus, Inc.,BBG005PG80K4,VEC
286,ALX Oncology Holdings Inc,BBG00VR8SDG8,ALXO
287,Zymergen Inc.,BBG0077HPN74,ZY
288,Recursion Pharmaceuticals, Inc.,BBG00PQ4XJ45,RXRX
289,Steven Madden, Ltd.,BBG000BLV2Q3,SHOO
290,Cleanspark Inc,BBG001MB89V6,CLSK
291,Alamo Group Inc.,BBG000BJTZX0,ALG
292,ONE Gas,BBG004WQKD07,OGS
293,AppLovin Corporation,BBG006HFPX77,APP
294,SentinelOne, Inc.,BBG00B6F2F09,S
295,PriceSmart, Inc.,BBG000BTKR92,PSMT
296,Silgan Holdings Inc.,BBG000BPDDB6,SLGN
297,IAA, Inc.,BBG00K7ZQ662,IAA
298,KKR & Co. Inc.,BBG000BCQ6J8,KKR
299,Cognyte Software Ltd.,BBG00R0ZFHV4,CGNT
300,Inseego Corp,BBG00DWX7QH0,INSG
301,GXO Logistics, Inc.,BBG00YDGX945,GXO
302,Avista Corporation,BBG000BCNF74,AVA
303,PJT Partners Inc.,BBG0079T1PZ6,PJT
304,Qualtrics International Inc.,BBG00M9BHPZ5,XM
305,Unity Software,BBG0056JW5G6,U
306,Gaming and Leisure Properties REIT,BBG003MSMCS6,GLPI
307,Kadant Inc.,BBG000BKRSZ3,KAI
308,ATN International, Inc,BBG000F8RCH1,ATNI
309,IDACORP, Inc.,BBG000BLR3Y7,IDA
310,Luminar Technologies,BBG00MS90LK2,LAZR
311,Viasat,BBG000HHLBF9,VSAT
312,Hamilton Lane Incorporated,BBG00FX58Q66,HLNE
313,Skillz Inc,BBG00RQ732B6,SKLZ
314,Applied Molecular Transport,BBG00R240WL5,AMTI
315,McGrath RentCorp,BBG000BP02D2,MGRC
316,Kopin Corporation,BBG000C2SBZ8,KOPN
317,Autoliv, Inc.,BBG000BVLRY8,ALV
318,Affimed NV,BBG006R5SSH5,AFMD
319,Stepan Company,BBG000BSMFN2,SCL
320,Tattooed Chef, Inc.,BBG00LN7Q496,TTCF
321,Victorias Secret & Co.,BBG01103B471,VSCO
322,Cameco Corporation,BBG000DSZTN6,CCJ
323,WW International, Inc.,BBG000DY6735,WW
324,Silvergate Capital Corp.,BBG00MMM95S7,SI
325,ESCO Technologies Inc.,BBG000C4S3P3,ESE
326,Corsair Gaming Inc,BBG00HMSHL83,CRSR
327,Gentex Corporation,BBG000BKJ092,GNTX
328,Paychex Inc,BBG000BQSQ38,PAYX
329,Poshmark,BBG0029ZBN50,POSH
330,Terreno REIT,BBG000PV3J62,TRNO
331,Cassava Sciences,BBG000BK9YW3,SAVA
332,QuantumScape Corporation,BBG00VJ17DS2,QS
333,EastGroup Properties REIT,BBG000BHRBT4,EGP
334,Совкомфлот,BBG000R04X57,FLOT
335,ROBLOX Corp,BBG001R1GCT0,RBLX
336,Robinhood Markets, Inc.,BBG008NMBXN8,HOOD
337,Vimeo,BBG00ZNSSKP3,VMEO
338,City Holding Company,BBG000BFJFX3,CHCO
339,CONMED Corporation,BBG000BFZVH8,CNMD
340,Albany International Corp.,BBG000BRWWH3,AIN
341,Bionano Genomics, Inc.,BBG001KWWRS9,BNGO
342,BankUnited, Inc.,BBG000PQPCM6,BKU
343,Doximity, Inc.,BBG0026ZJQX7,DOCS
344,Academy Sports & Outdoors,BBG00X7L1C14,ASO
345,NovoCure Limited,BBG009XW8PY2,NVCR
346,Reynolds Consumer Products Inc.,BBG00QVJVYB5,REYN
347,Clover Health Investments, Corp.,BBG00SHY90J5,CLOV
348,Squarespace, Inc.,BBG00389GQ73,SQSP
349,United Bankshares, Inc.,BBG000BVXC87,UBSI
350,АДР Just Eat Takeaway.com N.V.,BBG010R8C3Y4,GRUB
351,Essential Utilities, Inc.,BBG000BRMJN6,WTRG
352,Cowen, Inc.,BBG000ND1SB0,COWN
353,LifeStance Health Group,BBG01138DGZ7,LFST
354,STERIS,BBG00MRHG523,STE
355,Plug Power Inc,BBG000C1XSP8,PLUG
356,IAC InterActiveCorp,BBG00S1LR2C3,IAC
357,GoodRx Holdings Inc,BBG00X0VP8D9,GDRX
358,N-able,BBG00YJKWXD8,NABL
359,ALLETE, Inc.,BBG000CYW7N5,ALE
360,Minerals Technologies Inc.,BBG000BB61F7,MTX
361,Praxis Precision Medicines,BBG00W9LF2G5,PRAX
362,ICF International, Inc.,BBG000BBXVK5,ICFI
363,SJW Group,BBG000BT1ZY7,SJW
364,Solid Biosciences,BBG00JN4FXG8,SLDB
365,Organon & Co.,BBG00ZQRGW24,OGN
366,First Financial Bankshares, Inc.,BBG000BL8476,FFIN
367,Global-E Online Ltd,BBG00ZKY1P71,GLBE
368,Barrick Gold,BBG000BB07P9,GOLD
369,BJs Wholesale Club Holdings, Inc.,BBG00FQ8T4G3,BJ
370,ACI Worldwide, Inc.,BBG000PMBV39,ACIW
371,Workhorse Group Inc,BBG000BDPB15,WKHS
372,KnowBe4,BBG00C4DL9L4,KNBE
373,Brixmor Property Group REIT,BBG001LFLZZ1,BRX
374,Blink Charging Co,BBG000F9XKN7,BLNK
375,ICON plc,BBG000CTSZQ6,ICLR
376,Graphite Bio, Inc.,BBG00XDH4NZ2,GRPH
377,Bloomin Brands, Inc.,BBG002VZ68Y2,BLMN
378,Frontdoor, Inc.,BBG00H9MNDZ2,FTDR
379,TotalEnergies SE,IZHBULDINKDK,TOT
380,Aspira Womens Health,BBG000BTYP37,AWH
381,Hawaiian Electric Industries, Inc.,BBG000BL0P40,HE
382,AstraZeneca PLC,BBG000BZ0DK8,AZN
383,Vuzix Corp,BBG000QKVV49,VUZI
384,Chemours Company,BBG005H82GB2,CC
385,CarParts.com,BBG000N26V95,PRTS
386,DermTech,BBG00H19F184,DMTK
387,Gevo,BBG000P7S7L7,GEVO
388,Velodyne Lidar,BBG00M0X4584,VLDR
389,Seagate,BBG0113JGQF0,STX
390,Encore Wire Corporation,BBG000CQCCK6,WIRE
391,Independent Bank Group, Inc.,BBG003981NS4,IBTX
392,TuSimple Holdings,BBG00ZSDS6T8,TSP
393,Shoals Technologies Group, Inc.,BBG00YQ82275,SHLS
394,ГК Мать и дитя,BBG00Y3XYV94,MDMG
395,NV5 Global Inc,BBG005BT60Y8,NVEE
396,Constellation Pharmaceuticals,BBG000R1H6P8,CNST
397,Innospec,BBG000BMFNP4,IOSP
398,Bilibili Inc,BBG00K7T3037,BILI
399,Oil States International Inc,BBG000BDDN94,OIS
400,Virtus Investment Partners,BBG000DMFQS2,VRTS
401,Ultra Clean Holdings Inc,BBG000HSLV70,UCTT
402,BASF SE,BBG000BBVVK7,BAS@DE
403,Post Holdings Inc,BBG001WTBC36,POST
404,Schrodinger Inc,BBG000T88BN2,SDGR
405,Magnolia Oil & Gas Corp,BBG00GNC8DL2,MGY
406,T-Mobile US Inc,BBG000NDV1D4,TMUS
